Date,entry_price,position,exit_price,p/l
2018-09-04,289.03051208496095,long,291.2200012207031,218.94891357421784
2018-09-07,292.4960061645508,short,292.9100036621094,-41.399749755856874
2018-09-10,293.1525,short,291.44000244140625,171.2497558593725
2018-09-13,295.8492135620117,short,295.760009765625,8.920379638669829
2018-09-14,295.83910369873047,short,295.3599853515625,47.911834716796875
2018-09-17,294.3544024658203,short,294.4700012207031,-11.559875488279658
2018-09-18,296.0007073974609,short,294.1600036621094,184.07037353515534
2018-09-19,296.21279876708985,short,292.0199890136719,419.28097534179756
2018-09-20,292.80240966796873,long,292.82000732421875,1.759765625001819
2018-09-21,292.40638549804686,long,292.7300109863281,32.36254882812659
2018-09-26,294.9401889038086,short,293.95001220703125,99.01766967773256
2018-09-27,289.89180725097657,long,291.739990234375,184.81829833984307
2018-09-28,289.80271087646486,long,289.92999267578125,12.72817993163926
2018-10-01,290.9312951660156,long,289.94000244140625,-99.12927246093659
2018-10-02,290.8125,long,289.5899963378906,-122.2503662109375
2018-10-03,291.0105120849609,long,280.25,-1076.0512084960908
2018-10-04,288.82259033203127,long,274.32998657226557,-1449.26037597657
2018-10-05,287.03069274902344,long,278.02999877929693,-900.0693969726512
2018-10-08,287.04060241699216,long,276.52999877929693,-1051.0603637695226
2018-10-09,286.69409637451173,long,282.6199951171875,-407.410125732423
2018-10-10,277.4475,long and short,283.0525,560.5000000000018
2018-10-11,277.0732864379882,short,278.510009765625,-143.67233276367983
2018-10-12,280.8102987670899,short,278.26998901367193,254.03097534179437
2018-10-15,279.2952987670899,short,277.22000122070307,207.5297546386821
2018-10-16,279.7937951660156,long,275.57000732421875,-422.3787841796877
2018-10-17,279.7343975830078,long,267.1400146484375,-1259.438293457032
2018-10-18,275.72490966796875,long and short,281.29510986328125,557.0200195312509
2018-10-19,275.4872891235352,long,267.10000610351557,-838.7283020019652
2018-10-22,274.44780120849606,long,265.6099853515625,-883.781585693356
2018-10-23,272.8143072509766,long,269.8599853515625,-295.4321899414083
2018-10-24,264.46861450195314,long and short,269.81141479492186,534.2800292968718
2018-10-25,269.2997891235352,long and short,274.74018890380864,544.0399780273424
2018-10-26,264.4290060424804,long and short,269.7710061645507,534.2000122070317
2018-10-29,268.2660852050781,short,275.57000732421875,-730.3922119140623
2018-10-30,272.55858520507815,short,277.16000366210943,-460.14184570312864
2018-10-31,275.48760986328125,short,283.1300048828125,-764.239501953125
2018-11-01,272.66581329345706,long and short,278.1742135620118,550.8400268554738
2018-11-02,276.62891479492185,short,279.95999145507807,-333.10766601562136
2018-11-05,278.3257073974609,short,274.510009765625,381.5697631835917
2018-11-06,274.3884036254883,long and short,279.93160369873056,554.3200073242247
2018-11-07,280.29870483398435,long,272.20999145507807,-808.8713378906277
2018-11-08,279.69478912353514,long,274.95999145507807,-473.4797668457077
2018-11-09,277.16039154052726,long,275.739990234375,-142.04013061522573
2018-11-12,271.76490966796877,long and short,277.25510986328123,549.0200195312468
2018-11-13,271.3688854980469,long,266.10000610351557,-526.8879394531325
2018-11-14,269.4878915405273,long and short,274.93209136962884,544.4199829101535
2018-11-15,272.21039154052727,long,265.3099975585937,-690.0393981933576
2018-11-16,272.98259033203124,long,269.47000122070307,-351.2589111328168
2018-11-19,268.41870483398435,long,270.32000732421875,190.13024902344
2018-11-20,268.76100616455074,short,276.6300048828125,-786.8998718261764
2018-11-21,269.6295913696288,short,276.07000732421875,-644.0415954589923
2018-11-23,267.9630975341796,short,278.0,-1003.690246582039
2018-11-26,272.1647012329101,short,281.3699951171875,-920.529388427741
2018-11-27,273.02320739746096,short,272.52999877929693,49.320861816403294
2018-11-28,273.8637048339844,long and short,279.3963049316406,553.26000976562
2018-11-29,273.3093072509766,long and short,278.8307073974609,552.1400146484325
2018-11-30,275.21999999999997,long and short,280.78000000000003,556.0000000000059
2018-12-03,278.5562951660156,long,266.04998779296875,-1250.6307373046866
2018-12-04,269.80469879150394,long,267.489990234375,-231.4708557128938
2018-12-06,269.10180725097655,long,267.239990234375,-186.18170166015489
2018-12-07,262.9440060424804,long and short,268.25600616455074,531.2000122070344
2018-12-10,263.34,long and short,268.66,532.000000000005
2018-12-11,263.38948791503907,long and short,268.71048767089843,532.0999755859361
2018-12-12,264.8150903320313,long,251.7400054931641,-1307.5084838867183
2018-12-13,264.5675903320313,long,247.42999267578125,-1713.7597656250023
2018-12-14,259.7759939575196,long,242.3500061035156,-1742.598785400398
2018-12-17,253.09349395751957,long and short,258.20649383544924,511.2999877929667
2018-12-18,253.0637951660156,long and short,258.1761950683594,511.2399902343782
2018-12-19,249.22260543823245,long,250.05999755859372,83.73921203612724
2018-12-20,244.95569274902343,long and short,249.90429260253907,494.85998535156455
2018-12-21,239.92650604248044,long and short,244.77350616455075,484.70001220703125
2018-12-24,238.45089630126952,short,251.72000122070312,-1326.9104919433603
2018-12-26,245.19329818725586,long and short,250.14669815063476,495.33999633788994
2018-12-27,247.55939758300778,long and short,252.56059753417966,500.1199951171884
2018-12-28,246.83670181274414,long and short,251.82330184936524,498.66000366210983
2018-12-31,249.09390060424806,long and short,254.12610061645512,503.2200012207056
2019-01-02,249.20280120849608,long and short,254.23720123291017,503.4400024414083
2019-01-03,247.88429260253906,short,260.510009765625,-1262.5717163085938
2019-01-04,256.60059753417966,short,260.3699951171875,-376.93975830078443
2019-01-07,258.32770431518554,short,259.1099853515625,-78.22810363769577
2019-01-08,260.87290863037117,short,261.91000366210943,-103.70950317382608
2019-01-09,262.08489013671874,short,262.60000610351557,-51.511596679682725
2019-01-10,263.11510986328125,short,264.52999877929693,-141.4888916015684
2019-01-11,262.9736950683594,short,268.07000732421875,-509.63122558593454
2019-01-14,261.70108520507813,short,264.5,-279.89147949218705
2019-01-15,264.5291036987305,short,264.8800048828125,-35.09011840819767
2019-01-16,265.2260061645507,short,265.1400146484375,8.599151611321076
2019-01-17,267.1752987670899,short,267.5,-32.47012329101153
2019-01-18,265.3893072509766,long,265.35000610351557,-3.930114746100344
2019-01-22,267.145,short,264.98001098632807,216.49890136719137
2019-01-23,267.52880493164065,short,269.23001098632807,-170.12060546874181
2019-01-24,267.7914147949219,short,271.54998779296875,-375.8572998046873
2019-01-25,264.825,long and short,270.175,535.0000000000023
2019-01-28,268.00350616455074,short,273.64999389648443,-564.6487731933689
2019-01-29,267.62981109619136,short,274.82000732421875,-719.0196228027389
2019-01-30,271.9223110961914,short,274.41000366210943,-248.7692565918053
2019-01-31,274.26548767089844,short,271.82998657226557,243.55010986328693
2019-02-01,274.41701232910157,short,272.1300048828125,228.7007446289067
2019-02-04,270.91349395751956,long,272.27999877929693,136.65048217773688
2019-02-05,272.0718072509766,long,275.82000732421875,374.8200073242174
2019-02-06,271.66590362548834,long and short,277.1541036987305,548.8200073242183
2019-02-07,274.5482864379882,short,276.02999877929693,-148.17123413087074
2019-02-08,274.85130493164064,short,279.16000366210943,-430.8698730468791
2019-02-11,275.0027987670899,short,279.54998779296875,-454.7189025878822
2019-02-12,278.5782073974609,short,280.08999633789057,-151.17889404296534
2019-02-13,279.4266036987305,short,279.20999145507807,21.66122436524347
2019-02-14,278.7902987670899,short,280.82000732421875,-202.97085571288562
2019-02-15,281.95160369873054,short,281.260009765625,69.1593933105537
2019-02-19,282.3454876708984,short,281.04998779296875,129.54998779296716
2019-02-20,282.8908963012695,short,280.91000366210943,198.08926391600608
2019-02-21,282.00209136962883,short,280.32000732421875,168.2084045410079
2019-02-28,277.51680725097657,long and short,283.12320739746093,560.6400146484361
2019-03-01,279.4868975830078,long,276.20001220703125,-328.6885375976567
2019-03-04,278.34840362548834,long,280.20999145507807,186.15878295897232
2019-03-05,277.99198791503903,long,281.20001220703125,320.8024291992217
2019-03-06,276.21990966796875,long and short,281.80010986328125,558.02001953125
2019-03-07,279.52760986328127,short,283.010009765625,-348.23999023437295
2019-03-08,278.9620123291016,short,284.2799987792969,-531.7986450195292
2019-03-11,283.0120913696289,short,285.4100036621094,-239.79122924804983
2019-03-12,284.01201232910154,short,285.5400085449219,-152.79962158203375
2019-03-13,285.9814938354492,short,283.3900146484375,259.1479187011714
2019-03-14,285.84010986328127,short,286.57000732421875,-72.98974609374795
2019-03-15,281.43719879150393,long and short,287.1227987670898,568.5599975585887
2019-03-18,282.55590362548827,long,280.91000366210943,-164.5899963378838
2019-03-19,282.68460845947266,long,282.9599914550781,27.538299560546875
2019-03-20,280.5561145019531,long and short,286.2239147949219,566.7800292968764
2019-03-21,283.70430725097657,long,282.69000244140625,-101.43048095703193
2019-03-22,283.9716036987305,short,284.55999755859375,-58.83938598632312
2019-03-25,283.7191036987305,short,287.8500061035156,-413.0902404785104
2019-03-26,280.13039154052734,long and short,285.7895913696289,565.9199829101567
2019-03-27,284.3957864379883,short,288.44000244140625,-404.4216003417944
2019-03-28,285.5169024658203,short,289.1300048828125,-361.31024169922057
2019-03-29,287.40559753417966,short,290.45001220703125,-304.44146728515875
2019-04-01,290.72850616455077,short,290.7699890136719,-4.148284912110967
2019-04-02,290.79921356201174,short,289.2699890136719,152.92245483398688
2019-04-09,292.1626889038086,short,292.1400146484375,2.267425537110057
2019-04-10,293.1222012329102,short,291.3699951171875,175.22061157226858
2019-04-11,293.10201232910157,short,292.0,110.20123291015693
2019-04-15,294.8392135620117,short,294.8399963378906,-0.07827758789176187
2019-04-16,295.06141479492186,short,294.2200012207031,84.14135742187341
2019-04-17,294.28369506835935,short,294.0400085449219,24.3686523437475
2019-04-18,294.92,short,295.4700012207031,-55.00012207031091
2019-04-22,295.2229876708984,short,295.7900085449219,-56.70208740234557
2019-04-26,292.5153012084961,long,296.010009765625,349.4708557128888
2019-04-29,292.83210845947264,long,294.8999938964844,206.78854370117392
2019-04-30,292.9806024169922,long,289.9100036621094,-307.05987548828375
2019-05-01,290.86198791503904,long,289.5199890136719,-134.19989013671625
2019-05-02,290.32740966796877,long and short,296.19260986328123,586.5200195312468
2019-05-03,293.04990966796873,long,290.0,-304.9909667968734
2019-05-06,291.95099395751953,long,282.79998779296875,-915.1006164550779
2019-05-07,287.01090362548825,long,285.32000732421875,-169.0896301269504
2019-05-08,286.62478912353515,long,287.0299987792969,40.52096557617233
2019-05-09,285.8328012084961,long,289.55999755859375,372.71963500976426
2019-05-10,287.1,long,287.8999938964844,79.99938964843523
2019-05-13,285.62798767089845,short,285.9800109863281,-35.20233154296761
2019-05-14,288.17320739746094,short,288.4800109863281,-30.680358886718295
2019-05-15,289.90029876708985,short,287.6499938964844,225.03048706054756
2019-05-16,286.6643975830078,long,284.05999755859375,-260.4400024414076
2019-05-17,285.0209939575195,long,284.760009765625,-26.098419189452216
2019-05-20,283.12021087646485,long and short,288.8398110961914,571.9600219726544
2019-05-21,285.5952108764648,long,280.239990234375,-535.5220642089819
2019-05-22,284.7734939575195,long,280.8699951171875,-390.349884033202
2019-05-23,281.21939758300783,long,277.29998779296875,-391.9409790039083
2019-05-24,281.91240966796875,long,276.3800048828125,-553.2404785156245
2019-05-28,279.25918670654295,long,282.44000244140625,318.08157348633017
2019-05-29,277.4375903320312,long and short,283.0423901367188,560.4799804687559
2019-05-30,278.0612951660156,long and short,283.6786950683594,561.7399902343777
2019-05-31,280.07298767089844,short,289.6700134277344,-959.7025756835933
2019-06-03,279.1438049316406,short,291.0,-1185.6195068359398
2019-06-04,285.2644024658203,short,290.95001220703125,-568.5609741210953
2019-06-05,287.7085852050781,short,290.2900085449219,-258.1423339843752
2019-06-06,289.62760986328124,short,291.6199951171875,-199.23852539062636
2019-06-07,292.5667135620117,short,291.25,131.67135620117278
2019-06-12,293.1929086303711,short,293.239990234375,-4.708160400389261
2019-06-13,294.5361950683594,short,296.0199890136719,-148.37939453124704
2019-06-14,294.1625,short,295.57000732421875,-140.75073242187273
2019-06-17,292.63739013671875,short,295.2699890136719,-263.2598876953125
2019-06-18,295.37451232910155,short,292.4100036621094,296.4508666992174
2019-06-19,296.1723901367188,short,292.0799865722656,409.240356445315
2019-06-20,293.05978912353515,long,293.2799987792969,22.020965576172102
2019-06-21,292.61430725097654,long,294.75,213.56927490234625
2019-06-24,292.31728912353515,long and short,298.2226889038086,590.5399780273456
2019-06-25,295.3341036987305,short,298.2300109863281,-289.59072875976517
2019-06-26,295.00078643798827,short,300.4800109863281,-547.9224548339857
2019-06-27,296.21279876708985,short,300.1000061035156,-388.72073364257744
2019-06-28,297.6975,short,298.54998779296875,-85.24877929687591
2019-07-01,300.29320739746095,short,299.0299987792969,126.32086181640716
2019-07-02,301.2123110961914,short,300.3999938964844,81.23171997070244
2019-07-03,297.4752108764648,long,300.92999267578125,345.4781799316436
2019-07-08,301.5354876708984,short,302.4599914550781,-92.45037841797057
2019-07-09,302.02029876708986,short,301.44000244140625,58.02963256836051
2019-07-12,299.46509033203125,long,298.8999938964844,-56.50964355468773
2019-07-15,299.43539154052735,long,299.5799865722656,14.45950317382767
2019-07-16,298.4256024169922,long,301.7200012207031,329.43988037109193
2019-07-17,302.4748110961914,short,303.1700134277344,-69.5202331542987
2019-07-19,301.88899383544924,short,303.7699890136719,-188.09951782226335
2019-07-22,302.57578643798826,short,303.2200012207031,-64.42147827148688
2019-07-24,300.13831329345703,long,299.2300109863281,-90.83023071289062
2019-07-25,298.69289154052734,long,296.5199890136719,-217.29025268554665
2019-07-26,300.73228912353517,long,294.4200134277344,-631.2275695800793
2019-07-29,300.18780120849607,long,285.57000732421875,-1461.7793884277319
2019-07-30,299.45521087646483,long,289.3800048828125,-1007.5205993652332
2019-07-31,296.23771087646486,long and short,302.2223110961914,598.4600219726531
2019-08-01,293.55478912353516,long,295.2799987792969,172.52096557617165
2019-08-02,291.475813293457,long,293.3599853515625,188.41720581054915
2019-08-05,288.42570739746094,short,289.80999755859375,-138.42901611328102
2019-08-06,286.48620483398435,long and short,292.27380493164065,578.7600097656309
2019-08-07,286.76340362548825,long and short,292.5566036987305,579.3200073242247
2019-08-08,292.3271987915039,long,286.3399963378906,-598.7202453613293
2019-08-09,290.4263854980469,long,290.5799865722656,15.360107421872726
2019-08-12,286.9118975830078,long and short,292.7080975341797,579.6199951171843
2019-08-13,291.3371987915039,long,291.7900085449219,45.28097534179665
